number,code,,ssdate,sssrhsl(%),fxj(y),ssdate1,bkzf,dyrzf,derzf,dsrzf,y
442,688589,2020/7/31,20200722,77.88,17.91,2020/7/22,10.01%,341.49,0.07,-0.16,83.21
443,688590,2020/12/31,20201207,77.29,10.73,2020/12/7,-8.22%,151.26,-0.05,0.01,20.13
444,688595,2020/9/30,20200928,81.84,22.82,2020/9/28,-5.13%,175.24,0.11,-0.11,49.46
445,688596,2020/8/31,20200820,76.37,15.67,2020/8/20,4.85%,111.23,0.02,-0.1,33.16
446,688597,2021/6/30,20210617,69.49,5.88,2021/6/17,8.94%,144.56,-0.09,0.02,14.09
447,688598,2020/5/31,20200518,72.29,47.2,2020/5/18,-1.12%,92.65,0.06,-0.04,95.67
448,688599,2020/6/30,20200610,69.43,8.16,2020/6/10,5.99%,110.91,0.02,0.02,17.65
449,688600,2020/7/31,20200703,71.9,15.5,2020/7/3,9.95%,131.61,-0.01,0.04,36.08
450,688601,2021/6/30,20210628,81.38,36.48,2021/6/28,21.34%,327.63,0.06,0.12,130.45
451,688606,2021/3/31,20210325,62.31,133.67,2021/3/25,-1.21%,30.13,-0.13,-0.06,166.54
452,688607,2021/2/28,20210201,85.64,23.21,2021/2/1,-0.29%,266.22,-0.31,0,83.42
453,688608,2020/12/31,20201216,68.82,162.07,2020/12/16,-2.46%,123.36,0.03,0,371.01
454,688609,2021/3/31,20210323,79.8,3.99,2021/3/23,-2.52%,239.35,-0.21,-0.06,13.44
455,688611,2021/4/30,20210412,70.83,33.44,2021/4/12,-1.42%,68.36,-0.14,-0.03,54.84
456,688613,2021/5/31,20210521,84.73,16.43,2021/5/21,9.23%,478.27,-0.08,0.16,109.36
457,688616,2021/3/31,20210318,73.87,7.35,2021/3/18,2.65%,150.07,-0.1,0,17.74
458,688617,2021/1/31,20210107,68.78,74.46,2021/1/7,-1.09%,245.18,-0.12,-0.03,255.22
459,688618,2020/12/31,20201230,76.63,34.08,2020/12/30,-10.94%,79.49,-0.12,0.03,62.62
460,688619,2021/2/28,20210223,69.13,19.31,2021/2/23,3.30%,102.43,-0.17,-0.02,38.83
461,688621,2021/6/30,20210621,74.78,26.89,2021/6/21,2.58%,346.6,-0.01,-0.1,119.74
462,688622,2021/9/30,20210913,83.01,17.7,2021/9/13,-3.83%,425.42,-0.04,0.05,93.44
463,688625,2021/6/30,20210607,77.12,16.48,2021/6/7,-2.00%,147.45,0.02,-0.06,44.42
464,688626,2021/3/31,20210331,71.43,28.82,2021/3/31,-1.21%,55.45,0.15,0.06,53.76
465,688628,2021/2/28,20210201,77.37,19.11,2021/2/1,-1.13%,274.67,-0.29,0.06,69.87
466,688630,2021/4/30,20210401,77.37,15.23,2021/4/1,-0.92%,189.56,0.52,0.04,71.11
467,688633,2021/3/31,20210324,73.56,33.62,2021/3/24,1.83%,84.12,-0.15,0.04,60.8
468,688636,2021/4/30,20210408,77.91,34.5,2021/4/8,-5.27%,212.99,-0.2,-0.12,107.56
469,688639,2021/4/30,20210422,73.22,23.16,2021/4/22,-8.28%,52.2,0.03,0.19,42.67
470,688655,2021/5/31,20210511,71.68,7.59,2021/5/11,7.15%,197.23,-0.13,-0.06,22.42
471,688656,2021/1/31,20210113,83.32,35.26,2021/1/13,-1.09%,81.51,0.2,-0.09,75.72
472,688658,2020/12/31,20201224,68.78,24.36,2020/12/24,-5.36%,29.89,-0.15,-0.07,29.84
473,688659,2021/3/31,20210331,73.14,6.5,2021/3/31,14.65%,160.77,-0.16,0.06,16.57
474,688660,2021/5/31,20210519,69.66,5.44,2021/5/19,7.38%,115.99,-0.05,-0.1,11.6
475,688661,2021/3/31,20210329,73.85,17.71,2021/3/29,-4.13%,86.9,0.28,0.04,47.23
